,features,categorical_target_1,categorical_target_2,continuous_target_1,continous_target_2
100497,"This opens with subdued aromas of dark berry, cake spice, espresso and a whiff of pressed violet. On the straightforward palate, hints of white pepper and star anise add depth to dried morello cherry while solid tannins lend support.",Italy,Nebbiolo,88,29.0
27172,"Structured wine, with firm tannins as well as a light touch of wood aging. It's a fruity wine, raspberry fruit cut with taut acidity. It can be drunk now for its fruitiness, but would be better allowing the tannins to soften. So drink from 2015.",France,Pinot Noir,89,
82919,"Fresh grass, honeydew rind, green plum and orange rind unfold on the nose of this bright and refreshing white. The light-weight, slightly prickly palate boasts great verve and freshness, lending vibrancy to the green fruit flavors and medium-length finish.",France,Sauvignon Blanc,86,
80799,"Aged in small oak barrels for 24 months, I Quadretti offers burnt aromas of cedar and incense followed by rose potpourri and scented candle. The close is sour and slightly bitter.",Italy,"Corvina, Rondinella, Molinara",86,38.0
16516,"Briny aromas include too much mussel shell, sea water and compost. This wine is spritzy and coarse-feeling, with briny, pickled flavors of sauerkraut, scallion and sea shell. A briny finish leaves offputting lasting flavors.",Spain,Albariño,82,17.0
61295,"Dark orange-pink, this saignée of Cabernet Sauvignon is orange-crisp in flavor, with a meatiness to its body. Moderate acidity gives the fuller, bolder characteristics and texture a welcome lift.",US,Rosé,88,25.0
59315,"The chilly vintage has yielded lean flavors of grapefruits and limes, but sur lie aging lends notes of cream, while oak brings a subtle touch of buttered toast. The result is elegant and complex.",US,Sauvignon Blanc,89,40.0
90309,"The winery's entry-level bottling, this offers turned earth, juniper, cola and ripe red cherries on the nose. The cherries carry to the palate, where they meet with tangy cranberries, oregano-thyme herbs and grippy plum skin tannins that last into a solid finish.",US,Pinot Noir,88,30.0
53113,"Aromas of lemon curd and citrus blossom come with a hint of pine. This feels lemony and narrow, with a tight body that's showing little to no give. Nectarine, citrus and green-melon flavors are fresh prior to a dry citrusy finish.",Spain,Albariño,88,25.0
112195,"Clean fruit-forward aromas of pear and tropical fruits introduce a smooth, slightly creamy palate with good acidic cut. Citrusy flavors of orange and lime dominate, while the finish is lasting and fresh.",Chile,Chardonnay,88,17.0
6187,"Black-skinned fruit and violet aromas lead the nose of this Lambrusco. The zesty palate doles out tangy mouthfuls of dried black cherry, prune and graphite notes, all set against a backdrop of brisk acidity.",Italy,Lambrusco,87,14.0
110970,"Honey gold in color, this wine made from an indigenous Georgian grape has a bouquet of white cherries and lavender. Tart flavors of honeydew melon and white plum persist into the soft floral finish.",Georgia,Chinuri,84,28.0
38633,"The opening scent of funky, sweaty leather is not promising, and indeed, it tastes overly soft and muted. You can sense some good fruit in there, but it's tamped down. The tannins stick out, making the wine awkward and common.",US,Cabernet Sauvignon,84,65.0
91536,"This lush wine offers true value, deeply flavored in strawberry and cherry. A tannic foundation supports the fruit beside black tea, clove and a twist of orange and cranberry, with a soft and smooth texture.",US,Pinot Noir,90,25.0
120505,"The second rosé from Vignelaure is a delicate, fruity wine, with attractive acidity to go with its orange and white fruit flavors. The finish is smooth, with just a tang of lemon zest.",France,Rosé,89,14.0
30760,"Ripe cherry, cedar, vanilla and spice aromas are followed by soft red berries, cinnamon and vanilla flavors in this appealing Cabernet/Agiorgitiko blend. Overall soft and rich, the wine has a chalky, clean finish and a spin of spice.",Greece,Agiorgitiko,86,15.0
106708,"Made in a full-bodied and fleshy style, this comes from an estate vineyard long owned by the producer. Cloudy, with a distinct fresh cherry aroma, it opens with leathery tannins and pronounced oak notes before its bright, citrus-like acidity settles in.",US,Pinot Noir,90,60.0
122472,"Peaches and rosewater are the dominant flavors in this tasty, all Grenache rosé. Though it comes across as a bit one dimensional, that dimension has plenty of fruity appeal, supported with lemony acids and a hint of bitter rind.",US,Grenache,88,17.0
18367,"This is a rich wine, with a texture that's comfortably cushioned by ripe cherry and plum flavors. It's a wine to savor now, full and fruity.",France,Gamay,87,13.0
31324,Earthy spice and forest floor notes are kept fresh by vibrant acidity in this full-bodied estate wine. Black tea and herbal flavors dominate the finish.,US,Pinot Noir,87,55.0
49569,"The Shaw and Smith M3 Chardonnay continues to be a reliable performer, with the 2007 showing more restrained oak influence than in the past. It's still smoky and toasty upfront, but backed by ample apple and citrus fruit, and on the palate there's more of a toasted-grain note rather than overt vanilla and spice. Acids are crisp, elegantly extending the finish.",Australia,Chardonnay,91,41.0
87953,"Gritty, seemingly reduced aromas of berry and plum are herbal and come with an olive note. This is highly acidic, with a scouring mouthfeel and finish. Tart flavors of berry fruits lead to a finish with some bitterness.",Chile,Malbec,84,14.0
82436,"Starts out muddled and murky, and eventually settles on rich, raisiny and slightly stewed. Seeing that this is Toro, some overripeness is almost a given, and thus the black fruit and licorice flavors are expected. Finishes warm, toasty and short, with a candied hollowness.",Spain,Tempranillo,86,22.0
20748,"Dark strawberry meets clove spice, licorice and star anise on the nose of this bottling, which takes a little time to open up. The palate offers baked strawberry and vanilla notes, proving likable if not very complex.",US,Zinfandel,87,30.0
19123,"Heavy and waxy, with overdone varietal aromas that seem oily. Lots of pepper and cumin, but what about the fruit and acidity? Nowhere to be found.",France,Viognier,80,10.0
62457,"The nose on this one isn't very expressive but eventually gives up whiffs of paraffin and chopped herb. The palate is more open, offering yellow apple skin, mineral and a subtle almond note. It's reserved but refined.",Italy,Friulano,87,20.0
29548,"So much oak on this wine, it's like being inside a barrel. Vanilla, buttered toast, caramel and char flavors star, with a bit of blackberry fruit struggling to express itself.",US,Cabernet Sauvignon,84,32.0
67024,"Quite closed up, this wine has weight and intensity that will give concentration to the potentially ripe flavors of apricots, mandarin oranges and a twist of lemon zest. All of these flavors are integrated with the developing honeyed richness.",France,Bordeaux-style White Blend,93,
42177,"This has medicinal herb and adhesive bandage aromas that carry over to the lean palate. Racy acidity and a bitter note give it a firm, brisk finish.",Italy,Pinot Grigio,83,12.0
88124,"Mandarin-orange zest, cut Asian pear, lemon blossom and slight beeswax show on the fresh nose of this bottling by young winemaker Mike Callahan. It's extremely dry on the palate, like licking limestone, with hints of nectarine blossom and lemon-skin flavor.",US,Riesling,90,22.0
66804,"This rich and fruity wine shows the natural richness of the Douro, with dense and firm tannins that will allow the wine to age. Black plum fruits are powerful and concentrated, giving fruit and acidity. It needs to age for several years, don't drink before 2017.",Portugal,Portuguese Red,92,69.0
100138,"This wine is a blend of Cabernet Sauvignon and Merlot. The aromas suggest notes of high-toned herbs, cranberry, fresh cherries and cassis that provide appeal. The palate provides elegant, sophisticated flavors that linger.",US,Bordeaux-style Red Blend,90,120.0
19476,"Crisp and zesty in acid-rich lemongrass, lime, pineapple and fig flavors, this Sauvignon Blanc finishes clean and off-dry. Good with crab cakes with a tropical fruit and cilantro salsa.",US,Sauvignon Blanc,85,10.0
6546,"Spry lemon and white grapefruit flavors are stark and steely in this dry-style Riesling. It's not deeply concentrated on the palate, but refreshingly quaffable.",US,Riesling,85,15.0
127584,"Packed with botrytis, this is a wine whose sweetness is suppressed by richness. Flavors of bitter oranges and white figs go with the intense core of botrytis, followed by a touch of bright acidity. This is a wine whose journey is just beginning.",France,Bordeaux-style White Blend,94,
33449,"A vein of burnt sugar threads curiously from nose to finish in this dry full-bodied Pinot Gris. Sunny tangerine, pineapple and apricot flavors flood the midpalate, brightened by streak of lime acidity. A graceful balance of brawn and restraint, it should drink well through 2021.",US,Pinot Gris,88,16.0
76395,"The great flavor intensity comes from the sunny side of Vaudésir. The wine is rich, yet crisp and packed with lemon and apple fruits, a touch of spice and a steely, young aftertaste. It needs to age, so drink this from 2018.",France,Chardonnay,94,85.0
113795,"Blending Cabernet with 33% Petit Verdot might seem like folly indeed but it works on this wine. The aromas of flowers, vanilla and spice are quite reticent while the dark fruit flavors pack a well-balanced punch, with firm tannins and spritely, mouthwatering acids capturing the attention.",US,Bordeaux-style Red Blend,90,36.0
38024,"Subdued and measured with a classic line, this wine offers blueberry, fresh raspberry and persistent notes of dried flower and lavender. The mouthfeel is bright and crisp and the wine definitely ends on a citrusy note. The blend contains 5% Cabernet Sauvignon.",Italy,Sangiovese,87,
